country.name,Name,Code
United Kingdom,Aberdeenshire,
United Kingdom,Angus,
United Kingdom,Argyll,
United Kingdom,Avon,
United Kingdom,Ayrshire,
United Kingdom,Banffshire,
United Kingdom,Bedfordshire,
United Kingdom,Belfast,
United Kingdom,Berkshire,
United Kingdom,Berwickshire,
United Kingdom,Buckinghamshire,
United Kingdom,Caithness,
United Kingdom,Cambridgeshire,
United Kingdom,Cambridgeshire and Isle of Ely,
United Kingdom,Channel Islands,
United Kingdom,Cheshire,
United Kingdom,City of Bristol,
United Kingdom,City of London,
United Kingdom,Cleveland,
United Kingdom,Clwyd,
United Kingdom,Co Antrim,
United Kingdom,Co Armagh,
United Kingdom,Co Down,
United Kingdom,Co Durham,
United Kingdom,Co Fermanagh,
United Kingdom,Co Londonderry,
United Kingdom,Co Tyrone,
United Kingdom,Cornwall,
United Kingdom,Cumberland,
United Kingdom,Cumbria,
United Kingdom,Derbyshire,
United Kingdom,Devon,
United Kingdom,Dorset,
United Kingdom,Dumfriesshire,
United Kingdom,Dunbartonshire,
United Kingdom,Durham,
United Kingdom,Dyfed,
United Kingdom,East Lothian,
United Kingdom,East Suffolk,
United Kingdom,East Sussex,
United Kingdom,Edinburgh,
United Kingdom,Essex,
United Kingdom,Fife,
United Kingdom,Glasgow,
United Kingdom,Gloucestershire,
United Kingdom,Gloucestershne,
United Kingdom,Greater London,
United Kingdom,Greater Manchester,
United Kingdom,Gwent,
United Kingdom,Gwynedd,
United Kingdom,Hampshire,
United Kingdom,Hampshire (County of Southampton),
United Kingdom,Hereford and,
United Kingdom,Hereford and Worcester,
United Kingdom,Herefordshire,
United Kingdom,Hertfordshire,
United Kingdom,Humberside,
United Kingdom,Huntingdon and Peterborough,
United Kingdom,Huntingdonshire,
United Kingdom,Inverness-shire,
United Kingdom,Isle of Arran,
United Kingdom,Isle of Ely,
United Kingdom,Isle of Iona,
United Kingdom,Isle of Lewis,
United Kingdom,Isle of Man,
United Kingdom,Isle of Mull,
United Kingdom,Isle of Shetland,
United Kingdom,Isle of Skye,
United Kingdom,Isle of Tiree,
United Kingdom,Isle of Uist,
United Kingdom,Isle of Wight,
United Kingdom,Isle ofBute,
United Kingdom,Isle ofWight,
United Kingdom,Kent,
United Kingdom,Kincardineshire,
United Kingdom,Kirkcudbrightshire,
United Kingdom,Lanark shire,
United Kingdom,Lanarkshire,
United Kingdom,Lancashire,
United Kingdom,Leicestershire,
United Kingdom,Lincolnshire,
United Kingdom,"Lincolnshire, Parts of Holland",
United Kingdom,"Lincolnshire, Parts of Kesteven",
United Kingdom,"Lincolnshire, Parts of Lindsey",
United Kingdom,London,
United Kingdom,Merseyside,
United Kingdom,Mid Glamorgan,
United Kingdom,Middlesex,
United Kingdom,Midlothian,
United Kingdom,Morayshire,
United Kingdom,Norfolk,
United Kingdom,North Humberside,
United Kingdom,North Yorkshire,
United Kingdom,Northamptonshire,
United Kingdom,Northumberiand,
United Kingdom,Northumberland,
United Kingdom,Nottinghamshire,
United Kingdom,Nottmghamshire,
United Kingdom,Oxfordshire,
United Kingdom,Peeblesshire,
United Kingdom,Perthshire,
United Kingdom,Powys,
United Kingdom,Renfrewshire,
United Kingdom,Ross-shire,
United Kingdom,Rotherham,
United Kingdom,Roxburghshire,
United Kingdom,Rutland,
United Kingdom,Selkirkshire,
United Kingdom,Shropshire,
United Kingdom,Shropshire (Salop),
United Kingdom,Soke of Peterborough,
United Kingdom,Somerset,
United Kingdom,South Glamorgan,
United Kingdom,South Humberside,
United Kingdom,South Yorkshire,
United Kingdom,Staffordshire,
United Kingdom,Stirlingshire,
United Kingdom,Suffolk,
United Kingdom,Surrey,
United Kingdom,Sussex,
United Kingdom,Sutherland,
United Kingdom,Tyne and Wear,
United Kingdom,Warwickshire,
United Kingdom,West Glamorgan,
United Kingdom,West Lothian,
United Kingdom,West Midlands,
United Kingdom,West Suffolk,
United Kingdom,West Sussex,
United Kingdom,West Yorkshire,
United Kingdom,Westmorland,
United Kingdom,Wigtownshire,
United Kingdom,Wiltshire,
United Kingdom,Worcestershire,
United Kingdom,Yorkshire,
United Kingdom,"Yorkshire, East Riding",
United Kingdom,"Yorkshire, North Riding",
United Kingdom,"Yorkshire, West Riding",
